,Flag Tsunami,Year,Focal Depth,EQ Primary,Intensity,Country,Region code,Coordinates,Earthquake : Damage Description
5041,1,1999,13.0,7.6,10.0,TURKEY,140.0,"40.76,29.97",EXTREME (~$25 million or more)
5042,0,2000,33.0,5.9,,CHINA,30.0,"25.607,101.063",EXTREME (~$25 million or more)
5043,0,2000,10.0,5.4,,TAIWAN,30.0,"24.223,121.058",LIMITED (roughly corresponding to less than $1 million)
5044,0,2000,10.0,6.5,,ICELAND,120.0,"63.966,-20.487",SEVERE (~>$5 to $24 million)
5045,1,2000,17.0,8.0,,PAPUA NEW GUINEA,170.0,"-4.001,152.327",MODERATE (~$1 to $5 million)
5046,0,2002,9.0,4.8,6.0,UK,120.0,"52.52,-2.15",LIMITED (roughly corresponding to less than $1 million)
5047,0,2003,10.0,5.7,,TURKEY,140.0,"38.221,26.958",MODERATE (~$1 to $5 million)
5048,0,2003,54.0,5.4,,PANAMA,100.0,"9.355,-79.941",LIMITED (roughly corresponding to less than $1 million)
5049,0,2003,24.0,5.4,,CHINA,30.0,"43.77,119.643",SEVERE (~>$5 to $24 million)
5050,0,2004,10.0,7.1,8.0,INDONESIA,170.0,"-3.609,135.404",EXTREME (~$25 million or more)
5051,0,2005,10.0,5.2,,CHINA,30.0,"29.695,115.689",SEVERE (~>$5 to $24 million)
5053,0,2006,7.0,6.1,,IRAN,140.0,"33.5,48.78",SEVERE (~>$5 to $24 million)
5054,0,2006,10.0,4.7,,TAJIKISTAN,40.0,"38.246,69.22",LIMITED (roughly corresponding to less than $1 million)
5056,0,2008,51.0,5.3,,PERU,160.0,"-12.178,-77.164",LIMITED (roughly corresponding to less than $1 million)
5057,0,2008,14.0,5.3,,USA,150.0,"38.452,-87.886",LIMITED (roughly corresponding to less than $1 million)
5058,0,2008,39.0,6.8,,JAPAN,30.0,"36.158,141.521",LIMITED (roughly corresponding to less than $1 million)
5059,0,2008,4.0,5.5,,ALGERIA,15.0,"35.883,-0.658",MODERATE (~$1 to $5 million)
5060,0,2009,15.0,5.4,,KAZAKHSTAN,40.0,"44.724,78.864",LIMITED (roughly corresponding to less than $1 million)
5061,0,2009,7.0,5.7,,CHINA,30.0,"25.632,101.095",SEVERE (~>$5 to $24 million)
5062,0,2010,37.0,6.2,,PERU,160.0,"-18.058,-70.547",MODERATE (~$1 to $5 million)
5063,0,2010,10.0,4.8,5.0,BANGLADESH,60.0,"23.407,90.648",LIMITED (roughly corresponding to less than $1 million)
5064,0,2010,1.0,5.5,6.0,SERBIA,130.0,"43.76,20.673",SEVERE (~>$5 to $24 million)
5066,1,2012,20.0,8.6,,INDONESIA,60.0,"2.327,93.063",LIMITED (roughly corresponding to less than $1 million)
5067,0,2012,11.0,5.7,,AZERBAIJAN,40.0,"41.549,46.789",SEVERE (~>$5 to $24 million)
5068,1,2012,28.0,7.6,,PHILIPPINES,170.0,"10.811,126.638",LIMITED (roughly corresponding to less than $1 million)
5069,0,2013,10.0,5.7,,PHILIPPINES,170.0,"7.275,124.898",LIMITED (roughly corresponding to less than $1 million)
5071,0,2014,12.0,6.2,,CHINA,30.0,"27.189,103.409",SEVERE (~>$5 to $24 million)
5072,1,2014,40.0,7.3,7.0,EL SALVADOR,100.0,"12.526,-88.123",LIMITED (roughly corresponding to less than $1 million)
5073,0,2015,10.0,4.5,,CHINA,30.0,"23.01,101.755",LIMITED (roughly corresponding to less than $1 million)
5074,1,2015,22.0,8.3,9.0,CHILE,160.0,"-31.573,-71.674",EXTREME (~$25 million or more)
5076,0,2018,12.0,5.9,,HAITI,90.0,"20.041,-72.975",MODERATE (~$1 to $5 million)
5077,0,2018,9.0,5.6,,INDONESIA,170.0,"-2.916,119.435",MODERATE (~$1 to $5 million)
5078,0,2019,127.0,7.2,,PAPUA NEW GUINEA,170.0,"-6.977,146.44",MODERATE (~$1 to $5 million)
5079,1,2019,33.0,7.1,,INDONESIA,170.0,"1.6,126.416",LIMITED (roughly corresponding to less than $1 million)
5080,0,2019,10.0,5.0,,CHINA,30.0,"22.96,106.711",LIMITED (roughly corresponding to less than $1 million)
5081,0,-400,,7.6,,IRAN,140.0,"35.5,51.8",SEVERE (~>$5 to $24 million)
5083,0,52,,,9.0,TURKEY,140.0,"36.1,36.1",SEVERE (~>$5 to $24 million)
