,time,latitude,longitude,depth,mag
177,2021-09-29T03:26:42.682Z,36.4576,140.6943,57.6,4.5
178,2021-09-29T08:37:05.619Z,38.8893,135.4527,364.0,6.1
179,2021-09-30T03:52:24.728Z,41.0094,142.1415,53.04,4.4
180,2021-09-30T07:43:35.827Z,31.8713,141.3069,29.42,4.2
181,2021-09-30T08:45:31.183Z,38.5137,141.9969,67.62,4.6
182,2021-08-01T13:50:29.962Z,34.4672,139.758,123.4,4.3
183,2021-08-02T00:37:27.685Z,35.0453,133.0453,20.81,4.4
184,2021-08-02T03:28:58.868Z,44.1569,148.3143,29.0,5.3
185,2021-08-02T14:53:50.500Z,44.2797,146.4946,142.15,4.2
186,2021-08-02T15:35:32.843Z,36.1783,141.8431,27.47,4.7
187,2021-08-02T21:39:12.534Z,36.2416,141.9017,15.48,4.4
188,2021-08-03T04:38:59.328Z,42.8193,140.9553,146.05,4.5
189,2021-08-03T06:02:51.676Z,36.2176,141.8978,16.03,4.5
190,2021-08-03T07:28:23.392Z,36.1727,141.9275,17.2,4.6
191,2021-08-03T08:56:58.202Z,33.0535,137.0409,400.49,4.0
192,2021-08-03T10:29:17.615Z,36.1948,141.9343,16.99,5.0
193,2021-08-03T10:39:58.793Z,36.1162,142.1782,10.0,4.4
194,2021-08-03T10:47:39.958Z,36.1978,141.9399,35.0,4.5
195,2021-08-03T11:16:45.780Z,36.1887,142.0747,20.12,4.6
196,2021-08-03T11:23:51.685Z,44.1552,147.5807,75.45,4.3
197,2021-08-03T12:37:52.955Z,36.8907,141.9864,35.0,4.5
198,2021-08-03T13:20:20.812Z,37.3504,142.2019,37.13,4.7
199,2021-08-03T20:33:34.791Z,36.0981,142.1045,27.0,5.8
200,2021-08-03T20:37:17.770Z,36.1586,142.1403,21.93,4.9
201,2021-08-03T20:39:02.843Z,36.2381,141.9013,23.53,4.9
202,2021-08-03T20:42:49.374Z,36.2148,141.9301,26.41,4.7
203,2021-08-03T20:43:10.211Z,36.1397,142.1001,10.0,5.2
204,2021-08-03T20:50:08.603Z,36.1692,142.3469,10.0,4.5
205,2021-08-03T20:53:26.214Z,36.3955,141.7489,24.63,4.4
